employee_id,age,department,job_level,education_field,tenure_years,monthly_income,overtime,job_satisfaction,worklife_balance,distance_from_home_km,years_since_last_promotion,trainings_last_year,attrition
EMP-0001,47,Engineering,Junior,Business,11.4,3323.12,No,1,2,5,2,2,Yes
EMP-0002,30,Sales,Mid,Marketing,7.2,4438.49,No,4,1,7,5,1,No
EMP-0003,34,Customer Support,Senior,Technical,4.2,7805.91,Yes,2,3,3,1,3,No
EMP-0004,25,Sales,Mid,Business,1.0,4840.78,Yes,3,3,4,1,2,No
EMP-0005,21,Sales,Mid,Business,0.0,4958.48,No,1,1,9,0,3,Yes
EMP-0006,21,Finance,Junior,Technical,0.0,2983.33,No,4,4,5,0,0,No
EMP-0007,47,Customer Support,Mid,Business,2.0,4309.95,Yes,3,2,1,1,4,No
EMP-0008,31,Customer Support,Mid,Technical,6.5,5213.86,No,4,1,16,0,3,No
EMP-0009,32,Sales,Senior,Marketing,5.0,7197.82,No,4,4,11,0,2,No
EMP-0010,29,Engineering,Mid,Marketing,2.8,5471.8,No,2,2,8,0,1,Yes
EMP-0011,37,Customer Support,Mid,Business,0.1,4974.84,No,4,2,1,0,2,No
EMP-0012,37,Customer Support,Mid,Marketing,5.6,4362.7,No,4,3,1,0,2,Yes
EMP-0013,29,Sales,Senior,Business,0.5,6178.44,No,3,3,1,0,3,Yes
EMP-0014,32,Customer Support,Mid,Other,5.3,5636.71,Yes,4,4,7,4,0,Yes
EMP-0015,29,Finance,Mid,Other,7.2,4131.14,No,1,3,4,0,2,No
EMP-0016,31,Engineering,Junior,Technical,0.5,2935.61,No,3,2,20,0,0,No
EMP-0017,31,HR,Junior,Marketing,1.0,3282.02,No,3,3,7,1,0,No
EMP-0018,21,Customer Support,Senior,Other,0.0,7640.97,Yes,3,3,8,0,4,No
EMP-0019,37,Engineering,Lead,Business,4.3,8700.2,No,2,3,1,4,2,No
EMP-0020,42,Customer Support,Junior,Marketing,5.1,3425.1,Yes,4,2,14,1,2,Yes
EMP-0021,31,Sales,Mid,Business,6.7,5483.59,Yes,3,2,11,1,2,No
EMP-0022,43,Marketing,Junior,Marketing,1.2,2759.51,No,3,4,7,0,1,Yes
EMP-0023,27,Engineering,Mid,Other,1.3,5552.57,No,4,3,3,0,2,No
EMP-0024,45,Customer Support,Mid,Business,1.1,5591.29,Yes,4,2,26,1,0,No
EMP-0025,44,Marketing,Mid,Business,2.2,4235.54,Yes,2,2,1,0,1,No
EMP-0026,27,Sales,Senior,Other,0.4,6661.27,No,4,3,1,0,0,No
EMP-0027,41,Engineering,Mid,Marketing,5.2,5103.77,No,4,4,16,2,0,No
EMP-0028,34,Sales,Mid,Technical,2.0,4928.49,No,2,3,3,2,1,Yes
EMP-0029,39,Customer Support,Mid,Technical,2.2,4145.58,No,1,4,1,2,1,No
EMP-0030,31,Finance,Junior,Technical,2.0,3456.32,No,1,4,19,0,2,Yes
EMP-0031,45,Engineering,Senior,Other,4.0,6392.62,No,2,4,5,0,4,Yes
EMP-0032,34,Sales,Mid,Marketing,0.5,4986.2,Yes,3,3,2,0,1,No
EMP-0033,45,Marketing,Senior,Marketing,1.0,7306.64,No,3,3,14,0,4,No
EMP-0034,44,HR,Lead,Other,1.0,11157.97,No,2,3,18,1,2,No
EMP-0035,30,Marketing,Junior,Technical,1.3,3357.91,No,4,4,2,0,3,No
EMP-0036,38,Sales,Mid,Business,7.6,5617.54,No,4,4,1,4,1,No
EMP-0037,34,Customer Support,Mid,Marketing,1.3,4708.58,No,4,2,2,0,1,Yes
EMP-0038,38,Engineering,Junior,Marketing,2.6,3768.35,No,1,2,4,2,1,No
EMP-0039,37,Customer Support,Junior,Technical,3.6,3180.35,No,3,3,3,1,3,No
EMP-0040,31,HR,Mid,Business,1.4,4229.36,No,1,2,12,1,1,Yes
EMP-0041,32,Engineering,Senior,Other,0.9,8541.41,No,3,3,2,0,3,No
EMP-0042,35,Engineering,Mid,Other,13.7,4330.45,No,3,2,26,1,2,No
EMP-0043,31,Customer Support,Junior,Business,2.0,3253.75,Yes,2,3,25,2,4,No
EMP-0044,26,Marketing,Mid,Business,1.2,4096.37,No,4,3,7,1,3,No
EMP-0045,21,Engineering,Junior,Business,0.0,3132.62,No,2,4,9,0,1,Yes
EMP-0046,35,Customer Support,Mid,Marketing,7.2,5603.82,Yes,4,1,1,0,1,No
EMP-0047,25,Customer Support,Junior,Technical,1.0,2727.14,Yes,3,3,2,0,0,No
EMP-0048,32,Customer Support,Junior,Marketing,1.5,2900.91,Yes,2,2,1,1,2,Yes
EMP-0049,42,Marketing,Mid,Other,6.4,4300.94,No,4,2,4,1,3,No
EMP-0050,41,Sales,Senior,Other,2.2,6609.52,Yes,4,4,1,0,0,No
EMP-0051,28,Customer Support,Junior,Technical,1.9,3297.25,No,2,1,5,0,3,No
EMP-0052,39,Sales,Junior,Marketing,4.8,3738.85,Yes,4,1,9,1,2,No
EMP-0053,39,Customer Support,Mid,Business,0.1,4624.55,No,2,3,9,0,2,Yes
EMP-0054,29,Sales,Lead,Marketing,1.5,8256.47,No,1,1,21,1,1,No
EMP-0055,22,Sales,Mid,Business,1.0,5517.34,Yes,4,3,1,1,0,No
EMP-0056,39,Finance,Junior,Business,2.6,2996.86,No,3,2,1,0,1,No
EMP-0057,35,HR,Junior,Marketing,0.4,3092.11,No,3,3,4,0,1,No
EMP-0058,34,Marketing,Mid,Technical,0.5,5139.03,No,4,4,2,0,2,No
EMP-0059,44,Customer Support,Senior,Marketing,4.1,8444.27,No,4,2,3,0,1,No
EMP-0060,30,Customer Support,Mid,Technical,2.1,5447.41,Yes,2,3,1,0,1,No
EMP-0061,21,Finance,Senior,Technical,0.0,6466.41,No,4,2,10,0,2,No
EMP-0062,36,Sales,Mid,Business,2.4,5071.17,Yes,3,4,3,2,1,No
EMP-0063,46,Marketing,Senior,Other,4.8,7884.42,No,4,2,14,1,1,No
EMP-0064,39,Engineering,Mid,Marketing,3.0,4198.83,No,1,3,6,2,1,No
EMP-0065,38,Engineering,Lead,Marketing,1.3,9993.36,No,4,3,16,0,1,No
EMP-0066,38,Marketing,Mid,Technical,6.5,4871.59,No,2,3,4,1,1,No
EMP-0067,44,Sales,Mid,Marketing,1.8,5512.37,No,4,3,9,0,0,No
EMP-0068,39,Sales,Mid,Business,1.4,4156.77,No,4,4,34,1,1,Yes
EMP-0069,40,Customer Support,Mid,Business,7.3,4082.87,No,4,3,1,0,3,Yes
EMP-0070,22,Finance,Junior,Other,1.0,3657.04,No,4,3,14,0,2,No
EMP-0071,41,Finance,Senior,Other,2.7,6860.24,No,1,3,14,0,5,No
EMP-0072,32,Marketing,Mid,Marketing,0.2,4947.61,No,2,1,1,0,2,No
EMP-0073,24,Sales,Lead,Other,2.4,10554.75,Yes,3,3,25,0,2,No
EMP-0074,25,Engineering,Senior,Business,4.0,6809.02,No,1,3,28,1,1,No
EMP-0075,32,HR,Junior,Technical,2.0,3626.48,Yes,4,3,3,2,1,No
EMP-0076,43,Sales,Mid,Other,3.3,4249.12,No,2,3,1,2,2,No
EMP-0077,42,Finance,Junior,Other,4.7,3211.23,No,3,2,2,1,3,No
EMP-0078,38,Customer Support,Mid,Technical,4.5,4849.64,Yes,4,3,2,1,1,No
EMP-0079,30,Sales,Senior,Business,0.5,7319.0,No,3,2,11,0,0,No
EMP-0080,44,Customer Support,Lead,Other,4.1,8868.87,Yes,3,4,2,1,2,No
EMP-0081,37,Marketing,Junior,Technical,0.7,3186.16,No,4,3,8,0,2,No
EMP-0082,50,Sales,Junior,Technical,5.7,3488.46,Yes,1,2,10,1,3,No
EMP-0083,28,Finance,Junior,Other,0.2,2777.46,No,3,4,2,0,2,No
EMP-0084,28,Finance,Junior,Marketing,2.4,2725.09,No,2,3,27,2,0,No
EMP-0085,47,Marketing,Mid,Other,0.0,4220.76,No,3,4,2,0,0,No
EMP-0086,44,Finance,Senior,Technical,9.3,6790.06,No,2,4,5,0,2,Yes
EMP-0087,34,Customer Support,Mid,Business,9.0,5525.81,Yes,1,3,6,0,2,Yes
EMP-0088,21,Marketing,Senior,Business,0.0,6521.12,Yes,2,4,1,0,5,No
EMP-0089,40,Finance,Junior,Technical,0.6,2884.78,No,2,3,19,0,2,Yes
EMP-0090,21,Customer Support,Senior,Business,0.0,7054.62,Yes,2,3,11,0,2,No
EMP-0091,34,Engineering,Mid,Other,1.7,5042.6,No,3,3,1,1,4,No
EMP-0092,46,Finance,Junior,Business,1.6,3331.73,No,4,2,16,1,1,No
EMP-0093,34,Sales,Junior,Business,1.3,3810.74,Yes,1,3,7,0,1,Yes
EMP-0094,39,Customer Support,Mid,Business,0.6,4288.8,Yes,3,2,11,0,0,No
EMP-0095,29,Engineering,Mid,Technical,0.0,5172.28,No,4,3,7,0,1,No
EMP-0096,43,HR,Mid,Other,2.5,4563.67,Yes,2,4,1,0,1,No
EMP-0097,23,Customer Support,Junior,Marketing,2.0,3665.42,Yes,2,3,1,2,3,Yes
EMP-0098,54,Marketing,Senior,Technical,2.9,7814.87,No,4,4,4,1,0,No
EMP-0099,33,Finance,Junior,Business,5.1,2744.43,Yes,3,3,4,3,1,No
EMP-0100,33,Engineering,Junior,Technical,0.3,3491.77,No,4,4,1,0,4,No
EMP-0101,29,Engineering,Junior,Marketing,3.3,3506.75,No,3,3,11,0,2,No
